latitude,longitude,aqi
47.3442,-124.2879,18
41.1644,-81.2352,37
31.5776,-84.0998,48
44.61569,-123.091457,22
42.64225,-73.75464,40
35.1343,-106.5852,51
35.201592,-101.909275,39
31.954286,-84.08101,43
44.30738,-88.39509,37
34.244189,-97.462931,26
41.959695,-80.572808,41
39.442165,-81.908827,22
33.918137,-83.344385,45
33.610845,-84.390717,45
33.582044,-82.131249,44
44.3179,-69.7919,40
30.354944,-97.761803,40
35.385574,-119.015009,64
39.169533,-76.627933,44
44.817398,-68.772762,36
43.4351,-89.67979,33
41.975804,-70.023598,37
30.229653,-90.965628,46
40.285,-96.824166,15
30.036422,-94.071061,38
43.46611,-88.62111,36
48.855274,-122.7047,10
44.063916,-121.312554,17
45.786579,-108.45878,23
36.508611,-116.847778,40
46.825425,-100.76821,35
37.3863,-80.6539,35
40.518735,-88.996896,38
38.985477,-86.990419,30
42.474642,-70.970816,45
40.164576,-105.100856,44
37.13179,-86.142953,34
44.657014,-111.089618,12
47.592675,-122.627397,28
25.892518,-97.49383,40
31.169805,-81.495035,40
42.99328,-78.77153,41
46.002602,-112.501247,45
38.587525,-76.141006,38
40.82812,-81.3785,40
26.602016,-81.877908,41
32.178157,-104.443447,43
38.43829,-105.24504,8
37.74743,-113.055525,40
42.281013,-91.526879,40
46.66409,-122.96732,27
40.123886,-88.240553,36
38.346258,-81.621161,40
33.183016,-80.030712,38
35.2401,-80.785683,44
38.07657,-78.50397,38
34.9784,-85.2943,47
41.670992,-87.732457,48
39.708454,-121.617309,43
39.021881,-84.47445,49
33.750838,-90.734175,37
41.55523,-81.575256,48
41.823283,-90.211982,40
30.628333,-96.362777,27
38.958341,-104.817215,44
39.07803,-92.31632,40
34.051017,-81.15495,38
32.437028,-84.999653,44
40.356694,-83.063971,41
42.09142,-77.20978,39
27.76534,-97.434262,39
32.031934,-96.399141,33
44.5884,-123.2673,22
30.426533,-86.666217,37
33.1324,-96.786419,41
34.785219,-84.626423,44
36.83343,-79.337469,3
30.497478,-87.880258,24
41.514727,-90.51735,40
39.66575,-83.94268,41
34.530717,-86.967536,35
39.866834,-88.925594,40
32.2558,-107.7227,16
39.8281,-104.93647,52
41.603159,-93.643118,34
46.8943,-103.37853,34
31.513097,-82.749971,31
48.41252,-92.829225,34
37.30389,-107.484167,45
28.704607,-100.451156,21
44.76249,-91.41445,38
39.067159,-88.548934,37
32.67618,-115.48307,37
31.785769,-106.323578,44
37.705612,-85.852629,30
46.99364,-120.545,58
44.067224,-123.141352,43
38.392991,-87.748323,33
46.933754,-96.85535,34
36.035,-107.904167,40
36.1797,-94.116827,38
35.206111,-111.652777,44
34.285696,-79.744859,35
40.27813,-105.54564,48
40.400959,-91.391012,32
34.288567,-85.969858,34
35.40814,-94.524413,35
41.169646,-85.629292,27
36.705474,-119.741332,53
33.991494,-85.992647,32
29.566112,-82.26608,39
34.2993,-83.8134,37
44.6522,-105.2903,37
39.19296,-106.82323,6
40.915555,-98.378888,19
39.063798,-108.561173,21
42.1617,-123.64835,47
47.494318,-111.303317,11
40.414877,-104.70693,44
44.50729,-87.99344,37
42.605816,-72.596689,41
34.635958,-82.810667,43
17.967309,-66.186149,10
30.300833,-89.395916,43
39.564178,-77.720244,34
36.233274,-119.766212,44
35.832726,-93.20826,38
38.47753,-78.81952,32
31.32389,-89.2922,39
46.8505,-111.987164,41
45.828968,-119.262991,23
19.4308,-155.2578,9
32.726656,-103.122917,21
28.958644,-82.642965,34
29.764098,-90.765275,37
29.520443,-95.392509,50
38.47676,-82.63137,40
43.460556,-113.562222,42
39.928804,-86.078775,46
41.657232,-91.503478,33
32.329111,-90.182722,44
43.670833,-110.599472,43
30.201111,-82.441111,39
42.49963,-79.31881,37
38.391799,-86.929668,34
38.70608,-92.09308,39
37.198286,-94.317246,34
48.400407,-114.336962,37
38.75961,-94.57983,43
46.21835,-119.204153,33
31.122419,-97.431052,36
36.608,-82.1641,26
27.426981,-97.298692,28
35.63348,-83.941606,44
43.7775,-91.2269,35
45.300884,-117.812896,19
30.22611,-92.042908,44
30.140265,-93.368448,45
30.178056,-82.619167,41
35.153888,-114.566111,12
27.939746,-82.000084,40
41.308825,-105.54913,43
